Country,"Adults (In 1,000)",Wealth per adult (USD),Wealth per adult (USD),Distribution of adults (%) by wealth range (USD),Distribution of adults (%) by wealth range (USD),Distribution of adults (%) by wealth range (USD),Distribution of adults (%) by wealth range (USD),Gini (%)
Dutch Caribbean,258,40909,16810,40.0,52.7,7.1,0.2,69.1
Ecuador,11361,17151,5444,69.9,27.9,2.1,0.1,80.8
Egypt,59547,19468,6329,66.5,30.7,2.6,0.1,79.2
El Salvador,4201,34003,11372,47.6,46.0,6.2,0.2,79.1
Equatorial Guinea,776,18246,4561,77.0,18.8,4.1,0.1,86.3
Eritrea,1728,2846,1086,95.2,4.7,0.1,0.0,75.7
Estonia,1044,77817,38901,30.5,53.5,15.3,0.7,73.8
Ethiopia,57104,3540,1527,94.4,5.4,0.2,0.0,71.1
Fiji,564,15708,5764,69.0,28.3,2.6,0.1,77.4
Finland,4373,167711,73775,27.8,35.2,35.1,1.9,74.0
France,49967,299355,133559,14.8,27.0,53.3,4.9,70.0
French Caribbean,631,68443,23740,36.0,44.0,19.5,0.5,73.8
Gabon,1216,13696,4685,74.0,24.5,1.4,0.1,79.3
Gambia,1115,2500,658,94.9,4.9,0.2,0.0,84.9
Georgia,2959,14162,4223,77.7,20.7,1.5,0.1,81.3
Germany,68015,268681,65374,10.6,45.2,39.8,4.3,77.9
Ghana,16617,6132,2198,88.5,11.1,0.4,0.0,77.5
Greece,8462,104603,57595,22.1,49.3,27.7,0.9,65.7
Guinea,6078,2942,938,94.5,5.4,0.2,0.0,80.8
Guinea-Bissau,949,1828,670,97.0,3.0,0.0,0.0,77.6
Guyana,497,12280,4637,74.0,24.6,1.4,0.0,76.5
Haiti,6621,767,193,99.2,0.7,0.0,0.0,85.2
Hong Kong,6292,503335,173768,13.7,23.7,54.3,8.3,74.6
Hungary,7769,53664,24126,21.4,67.6,10.7,0.3,66.5
Iceland,255,337787,231462,6.0,18.0,70.7,5.3,50.9
India,900443,14252,3194,77.2,21.1,1.7,0.1,82.3
Indonesia,180782,17693,4693,67.2,30.8,1.9,0.1,77.7
Iran,57987,22249,7621,59.1,37.1,3.7,0.1,78.6
Iraq,21247,14506,6378,68.3,30.1,1.6,0.1,71.0
Ireland,3619,266153,99028,30.8,19.7,44.5,5.0,80.0
Israel,5626,228268,80315,15.8,41.2,40.1,2.9,73.4
Italy,49746,239244,118885,15.5,30.1,51.4,3.0,66.5
Jamaica,2041,19893,5976,66.7,30.3,2.9,0.1,82.0
Japan,104953,256596,122980,11.0,32.6,52.9,3.5,64.4
Jordan,5866,28316,10842,48.3,47.1,4.5,0.2,75.9
Kazakhstan,12226,33463,12029,46.3,49.3,4.2,0.2,76.4
Kenya,27473,12313,3683,79.6,18.8,1.5,0.1,82.2
"Korea, South",42490,211369,89671,14.8,38.3,44.4,2.5,67.6
Kuwait,3146,129890,28698,42.8,44.0,10.7,2.5,86.5
Kyrgyzstan,3927,5816,2238,89.7,9.8,0.5,0.0,75.7
Laos,4288,7379,1610,91.6,7.0,1.3,0.0,87.9
Latvia,1477,70454,33884,36.0,50.5,12.7,0.8,80.9
Lebanon,4548,55007,18159,40.6,50.5,8.4,0.5,79.7
Lesotho,1243,1226,264,97.8,2.2,0.1,0.0,88.6
Liberia,2502,4453,1464,91.9,7.8,0.3,0.0,80.1
Libya,4440,17198,6512,67.0,31.0,1.9,0.1,76.0
Lithuania,2166,63500,29679,29.3,58.0,12.2,0.5,71.0
Luxembourg,498,477306,259899,13.0,19.0,59.2,8.8,67.0
Madagascar,13812,1962,666,96.9,3.0,0.1,0.0,79.3
Malawi,8887,2045,606,96.2,3.7,0.1,0.0,82.4
Malaysia,22315,29287,8583,55.0,41.1,3.7,0.2,82.9
Maldives,409,25511,8519,56.0,39.3,4.5,0.2,79.8
Mali,8625,2424,869,96.0,3.9,0.1,0.0,77.6
Malta,358,148934,84390,13.0,45.0,40.6,1.4,61.7
Mauritania,2370,2788,1037,95.2,4.7,0.1,0.0,76.3
Mauritius,968,63372,27456,31.0,56.0,12.5,0.5,72.1
Melanesia,711,31106,12183,46.0,48.6,5.2,0.2,75.8
Mexico,85136,42689,13752,44.7,46.9,8.1,0.3,80.5
Micronesia,341,13193,4876,74.0,23.9,2.1,0.0,77.9
Moldova,3188,15491,7577,61.8,36.5,1.7,0.0,69.4
Mongolia,2053,6324,2546,88.0,11.5,0.5,0.0,74.4
Montenegro,476,60310,30739,29.0,57.0,13.6,0.4,68.4
Morocco,24654,13459,3874,78.4,19.7,1.9,0.1,81.9
Mozambique,14186,1003,345,98.9,1.0,0.1,0.0,79.1
Myanmar,35734,5025,2458,91.7,8.0,0.3,0.0,67.0
Namibia,1375,15294,3677,80.5,16.4,3.0,0.1,86.6
Nepal,17887,4056,1437,93.3,6.3,0.3,0.0,78.1
Netherlands,13462,377092,136105,13.6,29.4,49.3,7.7,75.3
New Zealand,3600,348198,171624,21.2,20.0,52.5,6.3,69.9
Nicaragua,4107,12239,3694,78.2,20.5,1.3,0.1,81.0
Niger,9739,1287,492,98.7,1.3,0.1,0.0,75.6
Nigeria,95931,6451,1474,91.7,7.6,0.7,0.0,85.8
Norway,4184,275880,117798,28.0,19.0,48.8,4.2,78.5
Oman,3765,39434,9886,50.5,43.1,6.0,0.4,86.7
Pakistan,123522,5258,2187,90.5,9.2,0.4,0.0,73.2
Panama,2843,43979,13147,45.3,46.6,7.8,0.3,82.5
Papua New Guinea,4941,6710,1790,91.3,7.7,1.0,0.0,84.3
Paraguay,4454,11962,3644,78.8,19.9,1.2,0.1,81.6
Peru,22530,17017,5445,70.4,27.4,2.1,0.1,80.1
Philippines,66960,15290,3155,83.1,14.8,2.0,0.1,86.9
Poland,30315,67477,23550,19.8,64.8,14.9,0.5,70.7
Polynesia,423,37998,14076,44.0,49.3,6.4,0.3,77.9
Portugal,8339,142537,61306,23.2,45.1,30.0,1.6,70.5
Qatar,2396,146730,83680,12.0,45.3,41.7,1.0,58.1
Romania,15208,50009,23675,32.1,58.5,9.1,0.3,70.1
Russia,111845,27162,5431,72.8,23.8,3.1,0.2,87.8
Rwanda,6581,4188,1266,92.8,6.9,0.3,0.0,81.9
Sao Tome and Principe,104,4029,1702,92.4,7.3,0.2,0.0,73.1
Saudi Arabia,24186,68697,15495,46.4,44.4,8.2,1.0,86.7
Senegal,7975,4702,1570,91.4,8.3,0.3,0.0,79.7
Serbia,5480,31705,14954,41.7,52.9,5.3,0.1,70.6
Seychelles,69,63427,24651,36.0,51.0,12.5,0.5,75.9
Sierra Leone,3937,995,370,99.0,0.9,0.0,0.0,76.7
Singapore,4887,332995,86717,16.2,38.6,39.7,5.5,78.3
Slovakia,4346,68059,45853,11.6,69.8,18.4,0.2,50.3
Slovenia,1672,120173,67961,18.0,53.0,28.2,0.8,67.1
South Africa,37590,20308,4523,75.8,20.2,3.9,0.2,88.0
Spain,37798,227122,105831,16.7,31.6,48.6,3.0,69.2
Sri Lanka,14732,23832,8802,54.3,42.0,3.7,0.1,76.8
Sudan,21941,1014,383,99.0,0.9,0.1,0.0,75.9
Suriname,382,5644,1349,91.2,8.1,0.7,0.0,87.1
Sweden,7794,336166,89846,34.0,18.4,40.3,7.3,87.2
Switzerland,6958,673962,146733,11.9,33.7,43.2,11.2,78.1
Syria,10811,2197,807,96.3,3.6,0.1,0.0,77.2
Taiwan,19633,238862,93044,13.9,38.6,44.4,3.1,70.8
Tajikistan,5227,4390,1844,92.4,7.3,0.3,0.0,73.1
Tanzania,27744,3647,1433,93.7,6.1,0.2,0.0,74.5
Thailand,54054,25292,8036,55.5,41.9,2.5,0.2,77.1
Timor-Leste,689,5185,2838,91.4,8.3,0.3,0.0,62.6
Togo,4084,1484,468,98.0,2.0,0.1,0.0,81.2
Trinidad and Tobago,1032,44182,15649,42.5,49.0,8.2,0.3,78.0
Tunisia,8207,17550,6177,67.4,30.2,2.3,0.1,77.8
Turkey,57768,27466,8001,57.6,38.8,3.4,0.2,81.8
Turkmenistan,3722,20328,9030,54.0,43.2,2.7,0.1,70.6
Uganda,19830,1994,646,96.6,3.3,0.1,0.0,80.4
Ukraine,34639,13104,2529,79.1,19.5,1.3,0.1,84.4
United Arab Emirates,8053,115476,21613,45.1,46.0,6.8,2.1,88.8
United Kingdom,52568,290754,131522,18.0,27.8,49.5,4.7,71.7
United States,249969,505421,79274,26.3,28.5,36.4,8.8,85.0
Uruguay,2530,60914,22088,37.0,51.3,11.2,0.4,77.2
Venezuela,18359,21040,7341,60.5,36.8,2.5,0.1,78.1
Vietnam,68565,14075,4559,76.3,21.9,1.8,0.1,80.2
Yemen,15281,5581,1223,93.0,6.2,0.8,0.0,88.0
Zambia,8331,3068,692,94.3,5.5,0.2,0.0,87.7
Zimbabwe,7086,7131,2356,86.9,12.5,0.6,0.0,79.8
